Title,channel_title,published_at,category_id,view_count,like_count,comment_count,favorite_count,duration,definition,caption,engagement_rate,likes_to_views_ratio,comments_to_views_ratio,duration_seconds,video_age_days
What The Hell Is Disney Doing With Moana??,DazzReviews,2025-11-18 01:26:26+00:00,1,41756,2061,423,0,PT17M34S,hd,FALSE,0.05948703211,0.04935699404,0.01013003808,1054,0
Python Full Course for Beginners,Programming with Mosh,2019-02-18 15:00:08+00:00,27,46262391,1222760,61153,0,PT6H14M7S,hd,TRUE,0.02775284512,0.02643097227,0.001321872851,22447,2464
Python for Beginners - Learn Coding with Python in 1 Hour,Programming with Mosh,2020-09-16 13:00:20+00:00,27,23108733,530447,26468,0,PT1H6S,hd,FALSE,0.02409976245,0.02295439465,0.001145367808,3606,1888
But what is a neural network? | Deep learning chapter 1,3Blue1Brown,2017-10-05 15:11:25+00:00,27,21325565,511165,8487,0,PT18M40S,hd,TRUE,0.02436755958,0.02396958655,0.0003979730245,1120,2965
AI Learns to Walk (deep reinforcement learning),AI Warehouse,2023-04-23 15:16:23+00:00,24,12181385,233272,9924,0,PT8M40S,hd,TRUE,0.01996455904,0.01914987342,0.0008146856195,520,939
AI Learns to Dodge  #ai #deeplearning #aiwarehouse,AI Warehouse,2024-07-20 04:11:42+00:00,24,11628193,524073,2175,0,PT40S,hd,FALSE,0.0452562109,0.04506916551,0.000187045383,40,486
Deep Learning Cars,Samuel Arzt,2016-10-23 15:48:14+00:00,28,11360687,81443,2768,0,PT3M19S,hd,FALSE,0.007412491215,0.007168844,0.0002436472157,199,3312
Machine Learning for Everybody – Full Course,freeCodeCamp.org,2022-09-26 16:00:28+00:00,27,9342497,98679,2163,0,PT3H53M53S,hd,TRUE,0.01079390116,0.0105623785,0.0002315226613,14033,1148
"Gradient descent, how neural networks learn | Deep Learning Chapter 2",3Blue1Brown,2017-10-16 16:48:20+00:00,27,8389210,174312,3434,0,PT20M33S,hd,TRUE,0.02118745136,0.02077811608,0.000409335276,1233,2954
AI Learns Insane Way to Jump,AI Warehouse,2024-03-25 22:08:29+00:00,24,7108310,281551,1396,0,PT50S,hd,TRUE,0.03980509575,0.03960870592,0.0001963898316,50,602
AI Learns to Play Soccer (and breaks physics),AI Warehouse,2025-05-31 23:14:58+00:00,24,6012177,93909,4031,0,PT12M24S,hd,TRUE,0.01629026952,0.01561979702,0.0006704724977,744,170
"Backpropagation, intuitively | Deep Learning Chapter 3",3Blue1Brown,2017-11-03 14:03:37+00:00,27,5587310,98603,1697,0,PT12M47S,hd,TRUE,0.01795139021,0.01764766629,0.0003037239201,767,2936
Machine Learning | What Is Machine Learning? | Introduction To Machine Learning | 2024 | Simplilearn,Simplilearn,2018-09-19 14:57:02+00:00,27,5273116,66588,2168,0,PT7M52S,hd,FALSE,0.01303896727,0.01262782525,0.0004111420247,472,2616
Artificial Intelligence Full Course | Artificial Intelligence Tutorial for Beginners | Edureka,edureka!,2019-06-02 08:53:49+00:00,27,4686811,88593,982,0,PT4H52M51S,hd,TRUE,0.01911213849,0.0189026144,0.0002095240859,17571,2361
Large Language Models explained briefly,3Blue1Brown,2024-11-20 15:07:15+00:00,27,4364236,141612,1927,0,PT7M58S,hd,TRUE,0.03288982702,0.03244828363,0.0004415433901,478,362
Learn Data Science Tutorial - Full Course for Beginners,freeCodeCamp.org,2019-05-30 12:48:19+00:00,27,4231800,87338,1383,0,PT5H52M9S,hd,TRUE,0.02096530532,0.02063849411,0.0003268112088,21129,2363
Harvard CS50’s Artificial Intelligence with Python – Full University Course,freeCodeCamp.org,2023-08-10 14:17:52+00:00,27,4222472,117312,1659,0,PT11H51M22S,hd,TRUE,0.02817566862,0.0277827709,0.0003928977166,42682,830
Python Full Course for Beginners [2025],Programming with Mosh,2025-02-12 12:30:31+00:00,27,4210215,103307,2724,0,PT2H2M21S,hd,FALSE,0.02518421858,0.02453722089,0.0006469976837,7341,278
"Stanford CS229: Machine Learning Course, Lecture 1 - Andrew Ng (Autumn 2018)",Stanford Online,2020-04-17 20:07:45+00:00,27,3971220,52634,853,0,PT1H15M20S,hd,TRUE,0.0134686536,0.0132538582,0.0002147953992,4520,2040
Machine Learning Full Course - Learn Machine Learning 10 Hours | Machine Learning Tutorial | Edureka,edureka!,2019-09-22 08:30:00+00:00,27,3517098,61981,1346,0,PT9H38M32S,hd,TRUE,0.01800546416,0.0176227624,0.0003827017664,34712,2249
What Is AI? | Artificial Intelligence | What is Artificial Intelligence? | AI In 5 Mins |Simplilearn,Simplilearn,2019-04-30 14:30:01+00:00,27,3510814,40358,2854,0,PT5M28S,hd,FALSE,0.01230825321,0.01149533655,0.000812916659,328,2393
Backpropagation calculus | Deep Learning Chapter 4,3Blue1Brown,2017-11-03 14:08:09+00:00,27,3503534,71579,2287,0,PT10M18S,hd,TRUE,0.02108327732,0.02043050804,0.0006527692745,618,2936
Python Machine Learning Tutorial (Data Science),Programming with Mosh,2020-09-17 13:00:03+00:00,27,3420549,75877,1979,0,PT49M43S,hd,FALSE,0.02276125185,0.02218268992,0.0005785619272,2983,1887
"StatQuest: Principal Component Analysis (PCA), Step-by-Step",StatQuest with Josh Starmer,2018-04-02 20:06:10+00:00,27,3411541,68347,4804,0,PT21M58S,hd,TRUE,0.02144221,0.02003404912,0.001408160884,1318,2786
TensorFlow 2.0 Complete Course - Python Neural Networks for Beginners Tutorial,freeCodeCamp.org,2020-03-03 15:44:00+00:00,27,3402554,72326,1991,0,PT6H52M8S,hd,TRUE,0.02184152791,0.0212563794,0.0005851485134,24728,2085
PyTorch for Deep Learning & Machine Learning – Full Course,freeCodeCamp.org,2022-10-06 14:13:05+00:00,27,2941564,59903,1812,0,P1DT1H37M26S,hd,TRUE,0.0209803285,0.02036432987,0.0006159986266,92246,1138
How word vectors encode meaning,3Blue1Brown,2024-04-11 16:23:26+00:00,27,3120589,140106,1274,0,PT1M,hd,TRUE,0.04530553517,0.04489727904,0.0004082561311,60,585
Practical Machine Learning Tutorial with Python Intro p.1,sentdex,2016-04-11 00:18:14+00:00,27,2867904,28598,1023,0,PT5M55S,hd,TRUE,0.01032844533,0.009971738952,0.0003567063763,355,3508
Google’s AI Course for Beginners (in 10 minutes)!,Jeff Su,2023-11-14 13:00:33+00:00,27,2855706,48236,2239,0,PT9M18S,hd,TRUE,0.01767513264,0.01689108862,0.0007840440213,558,734
How to Operate a Portable Mini Sewing Machine FHSM 505 - NEX Sewing Machine,Easy Sewing for Beginners,2020-09-09 09:15:24+00:00,26,2843275,54293,2975,0,PT15M,hd,TRUE,0.02014155502,0.01909522677,0.00104632825,900,1896
"Building a neural network FROM SCRATCH (no Tensorflow/Pytorch, just numpy & math)",Samson Zhang,2020-11-24 15:36:37+00:00,10,2648386,93800,1605,0,PT31M28S,hd,FALSE,0.03602381374,0.03541778449,0.0006060292548,1888,1819
99% of Beginners Don't Know the Basics of AI,Jeff Su,2024-09-03 13:00:49+00:00,27,2525385,56497,1885,0,PT10M12S,hd,FALSE,0.02311805007,0.02237162953,0.0007464205472,612,440
Deep Learning Basics: Introduction and Overview,Lex Fridman,2019-01-11 16:47:40+00:00,28,2503859,46148,908,0,PT1H8M6S,hd,TRUE,0.01879338302,0.01843074293,0.0003626400837,4086,2502
"AI, Machine Learning, Deep Learning and Generative AI Explained",IBM Technology,2024-08-05 11:00:52+00:00,27,2471570,58941,1511,0,PT10M1S,hd,TRUE,0.02445893725,0.0238475852,0.000611352051,601,469
Prompt Engineering Tutorial – Master ChatGPT and LLM Responses,freeCodeCamp.org,2023-09-05 14:36:07+00:00,27,2439346,60236,1084,0,PT41M36S,hd,TRUE,0.02513787501,0.02469349379,0.0004443812217,2496,804
What is Machine Learning?? Dr Tanu Jain Interview #upscinterview #upscaspirants #shortsfeed #fypage,UPSC Brilliance,2025-02-17 14:31:02+00:00,22,4391676,82870,424,0,PT20S,hd,FALSE,0.01896633108,0.01886978482,9.65E-05,20,273
AI Learns Red Light Green Light (reinforcement learning),AI Warehouse,2025-08-30 18:17:15+00:00,24,2311265,70385,4153,0,PT12M43S,hd,TRUE,0.03224985787,0.03045300714,0.00179685073,763,79
Machine Learning Course for Beginners,freeCodeCamp.org,2021-08-30 13:23:10+00:00,27,1933887,55410,1397,0,PT9H52M19S,hd,FALSE,0.02937450359,0.02865212463,0.0007223789589,35539,1540
Which Course is Best to Master AI?! 🎓| Tamil CEO Sidd Ahmed,Sidd Ahmed,2023-12-06 15:14:33+00:00,27,2055113,103382,606,0,PT58S,hd,FALSE,0.0505996261,0.05030475195,0.000294874153,58,712
11. Introduction to Machine Learning,MIT OpenCourseWare,2017-05-19 14:22:40+00:00,27,1773186,25461,468,0,PT51M31S,hd,TRUE,0.0146228232,0.01435889165,0.0002639315538,3091,3104
5 AI tools for all Coders🙌🏻,Apna College,2023-04-24 16:36:00+00:00,27,1806217,204903,364,0,PT1M,hd,FALSE,0.1136446431,0.1134431171,0.0002015260616,60,938
What is Machine Learning? | 100 Days of Machine Learning,CampusX,2021-03-13 16:15:53+00:00,27,1718265,18450,803,0,PT20M,hd,TRUE,0.01120490075,0.01073756915,0.0004673316006,1200,1710
Complete Statistics For Data Science In 6 hours By Krish Naik,Krish Naik,2022-06-19 04:28:36+00:00,27,1694458,31695,869,0,PT5H28M32S,hd,FALSE,0.01921793328,0.01870508522,0.0005128480536,19712,1248
Markov Chains Clearly Explained! Part - 1,Normalized Nerd,2020-10-25 12:40:25+00:00,27,1689074,35117,758,0,PT9M24S,hd,FALSE,0.02123943579,0.02079066945,0.0004487663366,564,1849
Stanford CS229 I Machine Learning I Building Large Language Models (LLMs),Stanford Online,2024-08-27 22:02:57+00:00,27,1670211,44355,387,0,PT1H44M31S,hd,TRUE,0.02678821611,0.02655650899,0.0002317071126,6271,447
Support Vector Machines Part 1 (of 3): Main Ideas!!!,StatQuest with Josh Starmer,2019-09-30 18:45:50+00:00,27,1646581,37930,2215,0,PT20M32S,hd,TRUE,0.02438080824,0.02303559738,0.001345210867,1232,2240
Complete Machine Learning In 6 Hours| Krish Naik,Krish Naik,2022-05-28 04:37:31+00:00,27,1625900,26723,655,0,PT6H37M52S,hd,FALSE,0.01683866361,0.01643581005,0.0004028535563,23872,1270
Machine Learning FULL Course with Practical (10 HOURS) | Learn Free ML in 2025 | Part-1,WsCube Tech,2024-04-15 13:30:09+00:00,27,1597050,43241,1630,0,PT10H16M47S,hd,FALSE,0.02809615973,0.02707552858,0.001020631151,37007,581
Machine Learning Tutorial Python -1: What is Machine Learning?,codebasics,2018-06-30 21:31:22+00:00,27,1594904,16731,270,0,PT6M51S,hd,TRUE,0.01065956907,0.01049027999,0.0001692890799,411,2697
Machine Learning Fundamentals: Bias and Variance,StatQuest with Josh Starmer,2018-09-17 16:00:42+00:00,27,1587680,43291,1556,0,PT6M36S,hd,TRUE,0.02824685815,0.02726681241,0.0009800457397,396,2618
Deep Learning | What is Deep Learning? | Deep Learning Tutorial For Beginners | 2023 | Simplilearn,Simplilearn,2019-06-03 14:30:00+00:00,27,1571115,25676,1028,0,PT5M52S,hd,FALSE,0.01699683537,0.0163425234,0.0006543119668,352,2359
Learn Python - Full Course for Beginners [Tutorial],freeCodeCamp.org,2018-07-11 18:00:42+00:00,27,48004241,1108112,45864,0,PT4H26M52S,hd,TRUE,0.02403904222,0.02308362665,0.0009554155651,16012,2686
I LEARNED CODING IN A DAY #shorts,Agnit Shorts,2023-03-17 04:30:00+00:00,24,31141877,1255613,810641,0,PT41S,hd,FALSE,0.06634969156,0.04031911627,0.02603057529,41,977
Python Tutorial For Beginners In Hindi (With Notes) 🔥,CodeWithHarry,2020-09-24 11:34:17+00:00,27,24863726,640459,122906,0,PT11H52M24S,hd,TRUE,0.03070195389,0.02575876899,0.004943184905,42744,1880
Coding - Expectation vs Reality | Programming - Expectation vs Reality | Codeiyapa #Shorts,Codeiyapa,2021-04-03 11:44:08+00:00,22,24690677,1119932,7478,0,PT38S,hd,FALSE,0.04566136256,0.04535849522,0.0003028673413,38,1689
Python Full Course for free 🐍,Bro Code,2021-02-15 15:00:12+00:00,28,21432510,987666,27797,0,PT12H,hd,FALSE,0.04737956276,0.04608260787,0.001296954892,43200,1736
Animation vs. Coding,Alan Becker,2025-03-01 13:00:06+00:00,1,15900984,663212,24497,0,PT9M27S,hd,FALSE,0.04324945907,0.04170886269,0.001540596384,567,261
Python Tutorial For Beginners in Hindi | Complete Python Course 🔥,CodeWithHarry,2024-06-16 05:36:24+00:00,27,15268966,315818,41749,0,PT10H53M55S,hd,TRUE,0.02341789068,0.02068365201,0.002734238669,39235,520
Python Full Course❤️ | Variables & Data Types | Lecture 1,Shradha Khapra,2024-01-26 15:31:21+00:00,22,12218294,202464,8123,0,PT1H22M19S,hd,FALSE,0.0172353835,0.01657056079,0.0006648227105,4939,661
Python Tutorial for Beginners | Learn Python in 1.5 Hours,Apna College,2021-12-02 16:36:14+00:00,27,11565187,266334,7968,0,PT1H17M12S,hd,FALSE,0.02371790238,0.02302893822,0.0006889641569,4632,1446
12 Hour Coding Livestream - Creating an Online Game with Python,Tech With Tim,2019-10-18 05:31:30+00:00,27,11010627,214100,3180,0,PT11H55M1S,hd,FALSE,0.01973366097,0.0194448491,0.0002888118643,42901,2223
Introduction to Programming & Python | Python Tutorial - Day #1,CodeWithHarry,2022-11-28 11:30:03+00:00,27,10624609,248480,31781,0,PT11M50S,hd,TRUE,0.02637847413,0.02338721139,0.002991262738,710,1085
Python Tutorial for Beginners - Full Course (with Notes & Practice Questions),Apna College,2024-02-12 14:24:29+00:00,27,10009276,162115,8521,0,PT10H24M51S,hd,FALSE,0.01704778477,0.01619647453,0.0008513102395,37491,644
How to Start Coding? Learn Programming for Beginners,Apna College,2022-01-25 17:54:00+00:00,27,9425030,345576,7629,0,PT11M5S,hd,FALSE,0.0374752083,0.036665768,0.0008094403085,665,1392
Python Tutorial for Absolute Beginners #1 - What Are Variables?,CS Dojo,2017-12-26 14:57:53+00:00,27,9361587,203407,8573,0,PT24M38S,hd,TRUE,0.02264359423,0.02172783079,0.0009157634367,1478,2883
#0 Python for Beginners | Programming Tutorial,Telusko,2018-08-16 08:58:58+00:00,28,8997835,95477,1206,0,PT1M6S,hd,TRUE,0.01074513916,0.01061110694,0.0001340322273,66,2651
"C++, Java or Python? Which language is best for College Placements in India",Apna College,2021-05-11 17:17:41+00:00,22,8912944,511622,2159,0,PT1M,hd,FALSE,0.05764435885,0.05740212691,0.0002422319447,60,1651
Python for Everybody - Full University Python Course,freeCodeCamp.org,2019-05-02 12:05:54+00:00,27,7487045,194245,5044,0,PT13H40M10S,hd,TRUE,0.026617841,0.02594414406,0.0006736969427,49210,2391
Harvard CS50’s Introduction to Programming with Python – Full University Course,freeCodeCamp.org,2023-05-01 13:55:40+00:00,27,7417912,202932,3955,0,PT15H57M48S,hd,FALSE,0.0278901896,0.02735702077,0.0005331688306,57468,931
Struggling with Python programming? Learn it in a  Simplest way #shorts #pythonprogramming,Error Makes Clever,2023-06-27 11:54:10+00:00,27,7469673,418527,1305,0,PT1M1S,hd,FALSE,0.05620486249,0.05603015607,0.0001747064196,61,874
Python Full Course for free 🐍,Bro Code,2024-08-20 13:00:54+00:00,27,7272963,236014,13892,0,PT12H,hd,FALSE,0.03436095655,0.03245086872,0.001910087827,43200,454
Python Tutorial for Beginners - Learn Python in 5 Hours [FULL COURSE],TechWorld with Nana,2021-03-05 14:10:17+00:00,27,6572989,167136,3998,0,PT5H31M30S,hd,FALSE,0.02603594407,0.02542769729,0.0006082467796,19890,1718
Python Tutorial - Python Full Course for Beginners in Tamil,Error Makes Clever,2023-06-29 12:34:28+00:00,27,6547398,157040,5735,0,PT9H38M4S,hd,FALSE,0.02486101733,0.02398509698,0.0008759203464,34684,872
New Python Coders Be Like...,Mr. P Solver,2022-07-31 12:57:40+00:00,28,5431419,156100,3133,0,PT2M13S,hd,FALSE,0.02931701102,0.02874018213,0.0005768288956,133,1205
How to become a Senior developer.. ♥️ 😂 #programming #javascript #python #coding #developer #coder .,DIVINE CLASSES AN INSTITUTION Of EDUCATION.,2024-07-20 14:48:32+00:00,27,6332543,200454,3029,0,PT18S,hd,FALSE,0.03213289951,0.03165457674,0.000478322772,18,485
Python OOP Tutorial 1: Classes and Instances,Corey Schafer,2016-06-20 17:00:03+00:00,27,4829674,123109,3876,0,PT15M24S,hd,TRUE,0.02629265944,0.02549012097,0.0008025384731,924,3437
12 Beginner Python Projects - Coding Course,freeCodeCamp.org,2020-12-09 16:03:12+00:00,27,4809354,123225,2370,0,PT3H29S,hd,TRUE,0.02611472848,0.02562193891,0.0004927895737,10829,1804
Intermediate Python Programming Course,freeCodeCamp.org,2020-08-27 17:23:03+00:00,27,4226422,89483,1965,0,PT5H55M47S,hd,TRUE,0.02163720953,0.02117227736,0.000464932166,21347,1908
తెలుగులో Python నేర్చుకోండి | Learn Python Programming from Basics with Examples 2025,Sundeep Saradhi Kanthety,2020-10-28 10:12:08+00:00,27,4208543,95392,1756,0,PT5H52M46S,hd,FALSE,0.02308351772,0.02266627128,0.0004172464396,21166,1847
👩‍💻 Python for Beginners Tutorial,Kevin Stratvert,2021-03-25 10:00:08+00:00,28,4106939,89491,3051,0,PT1H3M21S,hd,TRUE,0.02253307816,0.02179018929,0.0007428888662,3801,1699
Learn Coding & Get a Job (in 2025) 🔥,CodeWithHarry,2025-01-08 13:24:58+00:00,27,4070824,163635,5925,0,PT16M54S,hd,FALSE,0.04165249059,0.04019701166,0.001455478926,1014,313
How Much A Python Developer Earn ? | Python Developer Salary In India #Shorts #simplilearn,Simplilearn,2024-06-04 14:05:38+00:00,27,4711452,165636,45,0,PT46S,hd,FALSE,0.0351655848,0.03515603361,9.55E-06,46,531
